A	Coef.CD24HvsEpCAM	Coef.CD24LvsEpCAM	Coef.AirwayvsEpCAM	Coef.CD24HvsCD24L	t.CD24HvsEpCAM	t.CD24LvsEpCAM	t.AirwayvsEpCAM	t.CD24HvsCD24L	p.value.CD24HvsEpCAM	p.value.CD24LvsEpCAM	p.value.AirwayvsEpCAM	p.value.CD24HvsCD24L	Res.CD24HvsEpCAM	Res.CD24LvsEpCAM	Res.AirwayvsEpCAM	Res.CD24HvsCD24L	Genes.ENTREZID	Genes.GENENAME	Genes.SYMBOL	Genes.TXCHROM	Genes.TXSTART	Genes.TXEND
17997	4.26396618549597	0.0398716519447024	-0.0409187367643264	-0.00052354240981245	0.0807903887090289	0	0	0	0	0.999868831349335	0.999807853830963	0.999999272320998	0.999671031979857	0	0	0	0	17997	neural precursor cell expressed, developmentally down-regulated gene 1	Nedd1	chr10	92684745	92722418
380653	1.63712293096768	7.22013640734314	4.08812194103092	5.65412917418703	3.13201446631221	8.06102234655632	3.74506788764612	5.98058929950014	5.95244460483299	5.69596534115816e-06	0.00193561316852811	6.90233754163969e-05	6.86404547307e-05	1	1	1	1	380653	NA	NA	NA	NA	NA
380654	3.78694428991929	7.241980798297	3.6079077994211	5.42494429885905	3.6340729988759	12.04604685972	4.80145487948894	8.58320966456108	10.4176298645001	1.41054711242958e-07	0.000357375150562062	3.11530004821344e-06	5.17527438883402e-07	1	1	1	1	380654	cilia and flagella associated protein 54	Cfap54	NA	NA	NA
237459	5.08167579460746	0.598107344511758	0.192130438928947	0.395118891720353	0.405976905582811	0	0	0	0	0.980411162805464	0.99949127472242	0.998714279077762	0.997218601588672	0	0	0	0	237459	cyclin-dependent kinase 17	Cdk17	chr10	93160876	93225368
13713	5.13139326683102	-1.05935110541072	-0.681062951896783	-0.870207028653751	-0.378288153513936	-0.19737571471919	0	0	0	0.42375194174154	0.842061612741807	0.687975046747021	0.961995074529914	0	0	0	0	13713	ELK3, member of ETS oncogene family	Elk3	chr10	93247416	93284977
16993	5.78873170086535	-0.857349723015052	-0.59809270873262	-0.727721215873836	-0.259257014282431	0	0	0	0	0.922023653595832	0.999209533551919	0.996610470720973	0.999992460737048	0	0	0	0	16993	leukotriene A4 hydrolase	Lta4h	chr10	93453396	93464185
71761	-1.39183821717919	-1.3648551383409	2.3478250469637	0.491484954311399	-3.7126801853046	-0.497149262872552	2.42227599254336	0	-4.24302868360801	0.319409276122239	0.0179449399004495	0.817019827808622	0.000852465780238343	0	0	0	-1	71761	amidohydrolase domain containing 1	Amdhd1	chr10	93523338	93540033
69878	2.81897353832878	0.0593084909502748	-0.365159772368841	-0.152925640709283	0.424468263319115	0	0	0	0	0.999932376412899	0.996639064987435	0.999888372431397	0.995199017505774	0	0	0	0	69878	small nuclear ribonucleoprotein polypeptide F	Snrpf	chr10	93583029	93589658
57764	4.07924516589735	1.49193425593805	0.778373177816287	1.13515371687717	0.71356107812176	2.18849528910098	0	0.640408917478165	0	0.026645709114913	0.807744382395151	0.268103995180143	0.904468380143009	0	0	0	0	57764	netrin 4	Ntn4	chr10	93641049	93745972
56307	6.58644026722893	-0.320073144775862	0.457301644153185	0.0686142496886619	-0.777374788929047	0	0	0	0	0.999254158728257	0.996998928494078	0.999984916110298	0.907133539297896	0	0	0	0	56307	methionine aminopeptidase 2	Metap2	chr10	93858490	93864070
215008	4.4146892985113	-0.612025597527945	-0.118565171836133	-0.365295384682039	-0.493460425691812	0	0	0	0	0.997879490464472	0.999996761338613	0.999982745274292	0.999573701312764	0	0	0	0	215008	vezatin, adherens junctions transmembrane protein	Vezt	chr10	93961522	94035799
13998	5.0191081674538	-2.9677608851778	-2.01094600497322	-2.48935344507551	-0.956814880204578	-16.3333487011321	-9.0093178859241	-15.500534314035	0	7.07076844375407e-09	1.95220479063727e-06	1.17482501605334e-08	0.625366918240583	-1	-1	-1	0	13998	FYVE, RhoGEF and PH domain containing 6	Fgd6	chr10	94036001	94145339
22025	4.56172296110765	0.205936757184069	0.364618844582124	0.285277800883097	-0.158682087398056	0	0	0	0	0.999932490842934	0.999559221667164	0.999940048013287	0.999966073818543	0	0	0	0	22025	nuclear receptor subfamily 2, group C, member 1	Nr2c1	chr10	94147931	94197214
66414	2.19294995698797	0.564407598925261	0.700998514070976	0.632703056498119	-0.136590915145714	0	0	0	0	0.90863974063233	0.819288067779322	0.894336263144905	0.995374949481473	0	0	0	0	66414	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	Ndufa12	chr10	94199009	94220948
319880	5.37604279079383	0.82385883517478	-0.0765232070472406	0.37366781406377	0.900382042222021	0	0	0	0	0.791853032910131	0.999365678694109	0.99633992987858	0.675779385749398	0	0	0	0	319880	transmembrane and coiled coil domains 3	Tmcc3	chr10	94514857	94590954
67723	3.39602097028717	-0.416985222012964	0.297224164531199	-0.0598805287408823	-0.714209386544163	0	0	0	0	0.991895035818783	0.997637900796387	0.999917262172968	0.909563909920942	0	0	0	0	67723	centrosomal protein 83, opposite strand	Cep83os	chr10	94673493	94688613
77048	6.19510376537217	4.24455835776194	1.57646243655279	2.91051039715736	2.66809592120915	12.9958836840952	2.23454859019309	8.35030857402314	7.58412309162623	6.46904982881884e-08	0.0246422183727239	3.8652094304572e-06	9.00994784370693e-06	1	0	1	1	77048	centrosomal protein 83	Cep83	chr10	94688790	94742691
54712	2.33044802898319	-1.59431336016378	-0.62890473720805	-1.11160904868591	-0.965408622955729	-1.95227810109198	0	-0.462065739588757	0	0.0396268820841284	0.89346956681427	0.326930646234224	0.540957433449101	0	0	0	0	54712	plexin C1	Plxnc1	chr10	94790866	94944578
12905	4.41148956260978	-0.357627915009387	0.0564849628522097	-0.150571476078589	-0.414112877861597	0	0	0	0	0.999769435246692	0.999993529945378	0.999993319279152	0.999520207559859	0	0	0	0	12905	CASP2 and RIPK1 domain containing adaptor with death domain	Cradd	chr10	95174746	95322965
216233	6.69974250521325	-2.30950207214055	-0.398998123453957	-1.35425009779725	-1.91050394868659	-8.15188918727026	0	-2.62357890761875	-5.64497093884987	4.78021895535803e-06	0.998556313622186	0.01265264083315	0.00010424529988911	-1	0	0	-1	216233	suppressor of cytokine signaling 2	Socs2	chr10	95411490	95415283
70523	0.144581588916385	-1.49071346188067	-0.789282419746972	-1.13999794081382	-0.701431042133694	-1.34327700309282	0	-0.469096226848514	0	0.104358043374968	0.718295919499684	0.324510849443179	0.764553770382557	0	0	0	0	70523	RIKEN cDNA 5730420D15 gene	5730420D15Rik	chr10	95417375	95428640
67270	4.44509642386529	0.227811003870998	0.324232823753698	0.276021913812348	-0.0964218198826998	0	0	0	0	0.999982747281984	0.999933830985436	0.999989109268796	0.99999687702495	0	0	0	0	67270	mitochondrial ribosomal protein L42	Mrpl42	chr10	95480806	95501927
93765	5.01370188388925	0.711889776146117	0.145158090861623	0.42852393350387	0.566731685284494	0	0	0	0	0.976584960710926	0.999961512730302	0.999728703422996	0.996656622834999	0	0	0	0	93765	ubiquitin-conjugating enzyme E2N	Ube2n	chr10	95515162	95545658
71207	7.46399083587928	2.08671184309554	-0.151999659116942	0.967356091989301	2.23871150221249	4.89739390361256	0	0	5.55049519334513	0.000306519731191413	0.99840309514982	0.565257240084152	0.000118963878897343	1	0	0	1	71207	nudix (nucleoside diphosphate linked moiety X)-type motif 4	Nudt4	chr10	95547007	95564167
216238	5.56919812902282	-0.152192838124115	0.380994054244306	0.114400608060095	-0.533186892368422	0	0	0	0	0.99858713877268	0.991017982750912	0.999623642084064	0.971109339465069	0	0	0	0	216238	early endosome antigen 1	Eea1	chr10	95940663	96003003
12226	8.23859292197066	0.0260771873148151	0.146660008705476	0.0863685980101447	-0.120582821390661	0	0	0	0	0.99999139837497	0.999934312447764	0.999990417939898	0.999951279834531	0	0	0	0	12226	B cell translocation gene 1, anti-proliferative	Btg1	chr10	96617001	96622811
13179	6.03195188869854	-0.104075687759818	2.48547541877558	1.19069986550788	-2.5895511065354	0	9.61991179539471	1.37385173112267	-10.4126372221944	0.999898702462932	1.07469122530477e-06	0.099647832455473	5.17729604478139e-07	0	1	0	-1	13179	decorin	Dcn	chr10	97479500	97518163
17022	0.521633634927463	-0.612604649988306	0.607554236783088	-0.00252520660260935	-1.22015888677139	0	0	0	-0.623833540096263	0.841218965860731	0.864674657639673	0.99988147207618	0.273347785141672	0	0	0	0	17022	lumican	Lum	chr10	97565501	97572703
67972	6.83912893787848	0.00716448235850109	-0.115295767280609	-0.0540656424610546	0.122460249639111	0	0	0	0	0.999986963819936	0.999739570874051	0.999964816072641	0.999724429093333	0	0	0	0	67972	ATPase, Ca++ transporting, plasma membrane 1	Atp2b1	chr10	98915152	99026143
382406	4.3228260730295	0.541804627475447	0.0784404572846933	0.31012254238007	0.463364170190753	0	0	0	0	0.99913023343294	0.999994930217089	0.999981535906189	0.999691853462249	0	0	0	0	382406	POC1 centriolar protein B	Poc1b	chr10	99107171	99197988
14426	4.45179049452942	-1.69193923639153	-0.258836869759275	-0.975388053075404	-1.43310236663226	-3.92815466013192	0	0	-2.40030165244015	0.00139564112937497	0.999636532069955	0.568340968945792	0.0185684650974355	-1	0	0	0	14426	polypeptide N-acetylgalactosaminyltransferase 4	Galnt4	chr10	99108135	99113247
67603	6.01258406510582	0.702856764257428	0.499954689130409	0.601405726693918	0.202902075127018	0	0	0	0	0.96959666138749	0.997134313287058	0.995428767242344	0.99991248415637	0	0	0	0	67603	dual specificity phosphatase 6	Dusp6	chr10	99263231	99267489
17311	5.74624959658802	0.44277443392178	2.48872769163099	1.46575106277638	-2.04595325770921	0	5.08443864340471	1.75944463619579	-3.77807900257047	0.951889188950411	0.000232405915933867	0.0543974865596323	0.0017849027645308	0	1	0	-1	17311	kit ligand	Kitl	chr10	100015824	100100412
237500	4.80778493068309	0.0653348704962635	0.258051990930034	0.161693430713148	-0.192717120433771	0	0	0	0	0.994573179510388	0.971273706647047	0.991336656867048	0.982464471173318	0	0	0	0	237500	transmembrane and tetratricopeptide repeat containing 3	Tmtc3	chr10	100443902	100487347
216274	4.87693454708781	3.58576488094475	1.49695220159653	2.54135854127064	2.08881267934821	6.74724658165374	1.20956561103943	4.21446543788438	3.50869236284403	2.45969677403008e-05	0.127096229821735	0.000881029566091167	0.0027932931645798	1	0	1	1	216274	centrosomal protein 290	Cep290	chr10	100488289	100573655
68281	2.40352510815091	0.592331725906657	0.131944951521692	0.362138338714175	0.460386774384964	0	0	0	0	0.942698354129912	0.996926418187204	0.992367379114135	0.97729074567774	0	0	0	0	68281	RIKEN cDNA 4930430F08 gene	4930430F08Rik	chr10	100572274	100589259
237504	5.08523236476386	3.36244338077178	4.22136797058913	3.79190567568045	-0.858924589817354	10.5142278502441	14.395315012253	13.1426812898618	0	4.74192999284862e-07	2.42306693880004e-08	5.78652889497981e-08	0.825559543623659	1	1	1	0	237504	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9	Rassf9	chr10	102512222	102546560
216285	-1.75399403866998	5.51918427243123	2.72140160741457	4.1202929399229	2.79778266501666	7.36513520258711	2.31440841946449	4.99256464593953	3.29907379126946	1.20326325448866e-05	0.0217684994408531	0.000270558857435149	0.00399501833462132	1	0	1	1	216285	ALX homeobox 1	Alx1	chr10	103007847	103028777
74978	3.05411896225005	7.42176740839832	4.13175284443121	5.77676012641477	3.2900145639671	8.73593514118159	4.07139579754339	6.50055659934447	7.09282602738654	2.78950970014721e-06	0.00113348963722369	3.49460751533139e-05	1.60794917504689e-05	1	1	1	1	74978	leucine-rich repeats and IQ motif containing 1	Lrriq1	chr10	103063198	103236322
103098	3.84576329864616	-0.50181966422528	1.59003576571823	0.544108050746476	-2.09185542994351	0	2.20695198309143	0	-3.93674575728889	0.929136698168962	0.0258251311684773	0.947542234377417	0.00137651207060685	0	0	0	-1	103098	solute carrier family 6 (neurotransmitter transporter), member 15	Slc6a15	chr10	103367808	103419379
278279	4.50732676163041	-2.35073978463561	-1.02361658002939	-1.6871781823325	-1.32712320460622	-7.80898909035556	-0.155167135881065	-5.10979947418149	-1.77860343484635	6.97930577453746e-06	0.439877961255469	0.00022377613112765	0.0527288096275967	-1	0	-1	0	278279	transmembrane and tetratricopeptide repeat containing 2	Tmtc2	chr10	105187664	105574479
327812	1.2011941051294	-2.73855939204759	-1.23384405990539	-1.98620172597649	-1.5047153321422	-5.45796672678403	-0.877451736061916	-4.21136854772358	-1.42399433405875	0.000135678269055801	0.200349484573858	0.000884444109048711	0.0923613891824634	-1	0	-1	0	327812	predicted gene 15663	Gm15663	chr10	105574551	105583870
216292	3.39103447458551	-0.373573341087831	-0.137407793851823	-0.255490567469827	-0.236165547236008	0	0	0	0	0.999130417372748	0.999908915986825	0.999912873362026	0.999724904298524	0	0	0	0	216292	methyltransferase like 25	Mettl25	chr10	105763185	105841380
52713	4.44237435424246	-0.150141439886199	0.0215520213598337	-0.0642947092631827	-0.171693461246033	0	0	0	0	0.999931950917887	0.999991331546986	0.999992512406095	0.999904855272775	0	0	0	0	52713	coiled-coil domain containing 59	Ccdc59	chr10	105841479	105847510
380660	1.18614064601457	-3.8318868579449	-3.26870467155929	-3.55029576475209	-0.56318218638561	-9.50360904339984	-7.83918240846478	-11.4364009761622	0	1.20849298543406e-06	6.76494672499444e-06	2.16176192066257e-07	0.861232404625497	-1	-1	-1	0	380660	acyl-CoA synthetase short-chain family member 3	Acss3	chr10	106936164	107123664
17931	5.82896518626886	-0.0324874452023582	0.364477109014047	0.165994831905844	-0.396964554216405	0	0	0	0	0.999965534855166	0.998290023730343	0.999914923734285	0.997778092022126	0	0	0	0	17931	protein phosphatase 1, regulatory (inhibitor) subunit 12A	Ppp1r12a	chr10	108162400	108277575
114774	5.06774598424586	1.06257836603162	0.27444939321321	0.668513879622413	0.788128972818406	0.393086388572498	0	0	0	0.351224614873697	0.999200163903534	0.977598441047983	0.89624118776637	0	0	0	0	114774	PRKC, apoptosis, WT1, regulator	Pawr	chr10	108332189	108414391
52679	1.34703231238609	4.24482323298236	2.9280622893058	3.58644276114408	1.31676094367655	7.40876053590884	4.0964922729187	5.94841833711266	1.19352368037403	1.1166580911016e-05	0.00106668615961805	6.92733076444708e-05	0.130014970409066	1	1	1	0	52679	E2F transcription factor 7	E2f7	chr10	110745465	110756637
13008	4.90757786918607	5.25390027784663	2.18298786238513	3.71844407011588	3.0709124154615	11.0395178423524	2.89353168686393	7.27981282694086	7.63940622296831	3.07560834252282e-07	0.00795813101390819	1.29113304542338e-05	8.46882519479062e-06	1	0	1	1	13008	cysteine and glycine-rich protein 2	Csrp2	chr10	110920176	110939514
320150	5.01909311863827	0.0318724401583816	0.295562766284787	0.163717603221585	-0.263690326126405	0	0	0	0	0.999989294005035	0.999662849328781	0.999972899174712	0.999794322065314	0	0	0	0	320150	zinc finger, DHHC domain containing 17	Zdhhc17	chr10	110941780	110950683
432502	4.27929150130538	-1.14349812905224	0.141316767760635	-0.501090680645802	-1.28481489681287	-1.15803592401488	0	0	-2.29609699212723	0.136788796573156	0.999992441215584	0.999722407377005	0.022189394019632	0	0	0	0	432502	ribosomal protein L6-like	Rpl6l	NA	NA	NA
237542	4.92812202034357	-1.10375430150418	-0.0463794450029784	-0.575066873253579	-1.0573748565012	-0.368994312597601	0	0	-0.20171799085146	0.359896293732944	0.998923415187917	0.950480573684084	0.42209052631841	0	0	0	0	237542	oxysterol binding protein-like 8	Osbpl8	chr10	111164802	111264892
71769	1.77206997961255	0.387760041603828	-0.0378236328853379	0.174968204359245	0.425583674489165	0	0	0	0	0.988244128435706	0.999317550044834	0.998650888555884	0.982340345069153	0	0	0	0	71769	Bardet-Biedl syndrome 10 (human)	Bbs10	chr10	111298679	111301736
53605	5.86419092788677	-0.278605787495437	0.207878258768385	-0.0353637643635256	-0.486484046263821	0	0	0	0	0.999522097751022	0.999766696347599	0.999992786382635	0.995889463697602	0	0	0	0	53605	nucleosome assembly protein 1-like 1	Nap1l1	chr10	111473192	111495004
21664	7.29509194030867	-0.912513113432205	-0.563982513498041	-0.738247813465122	-0.348530599934164	0	0	0	0	0.677829565544112	0.980420053051598	0.934690421170835	0.997293518182701	0	0	0	0	21664	pleckstrin homology like domain, family A, member 1	Phlda1	chr10	111506286	111508649
52705	5.4106850022596	1.06706246273562	0.403147085904333	0.735104774319975	0.663915376831284	0.324264487807608	0	0	0	0.37618728842347	0.989986367510899	0.907846075542734	0.935957723696995	0	0	0	0	52705	KRR1, small subunit (SSU) processome component, homolog (yeast)	Krr1	chr10	111972695	111976515
73690	3.54935919677995	6.24197057162615	3.24770894831348	4.74483975996982	2.99426162331267	17.4821118568526	7.08223945377476	12.5468224308357	12.6298475421841	3.79074681024195e-09	1.62813926796386e-05	9.10310095507284e-08	8.42563524581912e-08	1	1	1	1	73690	GLI pathogenesis-related 1 (glioma)	Glipr1	chr10	111985448	111997264
353025	3.1621412068352	4.94580663100547	3.30064400817876	4.12322531959212	1.6451626228267	8.38269016931692	4.66144376106257	6.70361274410107	2.58990778936878	3.81390737405269e-06	0.000440608073261356	2.61348421421556e-05	0.013407896034636	1	1	1	0	353025	calcyphosphine 2	Caps2	chr10	112163621	112216555
382423	6.42974897000992	-0.468659798971482	-0.235182184293408	-0.351920991632445	-0.233477614678074	0	0	0	0	0.999722490800586	0.99998450291389	0.9999818377242	0.999984308591342	0	0	0	0	382423	ataxin 7-like 3B	Atxn7l3b	chr10	112925428	112929026
66687	4.95469501282786	-1.3737176033931	-0.423039117356291	-0.898378360374697	-0.950678486036812	-1.85370991396782	0	0	0	0.0466345672961596	0.993485484588891	0.721811267714165	0.591355558105041	0	0	0	0	66687	TBC1 domain family, member 15	Tbc1d15	chr10	115197871	115251493
668041	3.26071851360339	-1.01358323471781	0.782909683799185	-0.115336775459311	-1.79649291851699	-0.0365748789386265	0	0	-2.27455747791061	0.485912072519014	0.749402981289879	0.995175115898746	0.0230250691243828	0	0	0	0	668041	predicted gene 8942	Gm8942	NA	NA	NA
216344	5.34897471660686	-0.810954795505546	-0.607279489085032	-0.709117142295288	-0.203675306420513	0	0	0	0	0.838485583883601	0.970314357063208	0.95332444071504	0.999138108303729	0	0	0	0	216344	RAB21, member RAS oncogene family	Rab21	chr10	115289862	115315591
67226	4.67131781427829	-0.324163642951039	-0.226291595357274	-0.275227619154156	-0.0978720475937651	0	0	0	0	0.999988018379358	0.999995266234016	0.999998045153368	0.999998953488759	0	0	0	0	67226	transmembrane protein 19	Tmem19	chr10	115339674	115362231
66816	3.76808691078571	-0.514360580568237	-0.66868265406448	-0.591521617316359	0.154322073496243	0	0	0	0	0.982350174376515	0.922245597902193	0.978600648916446	0.998549101952918	0	0	0	0	66816	THAP domain containing, apoptosis associated protein 2	Thap2	chr10	115369966	115384435
216345	6.02552122832789	0.201577088899568	0.346486417443845	0.274031753171706	-0.144909328544277	0	0	0	0	0.999910671989749	0.999557748042857	0.99993379313784	0.999953966224137	0	0	0	0	216345	zinc finger, C3H1-type containing	Zfc3h1	chr10	115384959	115432771
216350	5.14042454365157	-2.60748743763598	-1.73936404073394	-2.17342573918496	-0.868123396902046	-10.6558044919864	-5.16130767547447	-9.58105154812801	0	4.1770477720877e-07	0.00020754551118048	1.11505037681457e-06	0.781458055438937	-1	-1	-1	0	216350	tetraspanin 8	Tspan8	chr10	115817284	115849893
19263	6.55468314648229	0.515269440192999	1.17131091611873	0.843290178155867	-0.656041475925734	0	0.373846550410512	0	0	0.84589895826411	0.358524289511886	0.648730583602137	0.771315548878997	0	0	0	0	19263	protein tyrosine phosphatase, receptor type, B	Ptprb	chr10	116275523	116319919
58802	2.13096542463775	7.42144881891335	3.79597106746791	5.60870994319063	3.62547775144545	9.88347299137822	4.00598728051508	7.02704546319774	8.38888443924616	9.0393933678982e-07	0.00125087458843944	1.80521870847257e-05	3.72401706923664e-06	1	1	1	1	58802	potassium large conductance calcium-activated channel, subfamily M, beta member 4	Kcnmb4	chr10	116417868	116473523
100504412	-1.55059613594468	5.39572258514998	1.85788929492482	3.6268059400374	3.53783329022516	7.92061675040286	1.22428678107757	4.55130287584444	4.92443190617971	6.36127009789724e-06	0.125451528215571	0.000524333740978928	0.000296752459288406	1	0	1	1	100504412	potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 2	Kcnmb4os2	chr10	116473163	116474986
72068	5.71743198097726	0.127124869208465	0.45486174513332	0.290993307170893	-0.327736875924854	0	0	0	0	0.999987982294525	0.999442767523056	0.999975528157633	0.999897936739976	0	0	0	0	72068	CCR4-NOT transcription complex, subunit 2	Cnot2	chr10	116485161	116581511
100504423	0.660110007316439	0.88881617144532	1.12457045317987	1.00669331231259	-0.235754281734545	0	0.407500795362165	0.0245511581255784	0	0.640650234859993	0.346103282221029	0.490458013661793	0.992454165572896	0	0	0	0	100504423	NA	NA	NA	NA	NA
216363	5.47823225305107	-0.0372119455256641	-0.247522626657452	-0.142367286091558	0.210310681131788	0	0	0	0	0.999999361090024	0.999984632181284	0.999998931680929	0.999990816400423	0	0	0	0	216363	RAB3A interacting protein	Rab3ip	chr10	116905784	116937655
71086	2.14871698618681	1.22116764165446	0.352304498043206	0.786736069848835	0.868863143611257	0.811181226395946	0	0	0	0.218012468429241	0.969017782425737	0.783816677283402	0.685268569410904	0	0	0	0	71086	RIKEN cDNA 4933412E12 gene	4933412E12Rik	chr10	116950562	116959304
382427	-0.821422237819728	1.93702413131624	-0.555019278407272	0.691002426454486	2.49204340972352	1.42429683346135	0	0	2.03489707895974	0.0928959455751643	0.742427862316067	0.68805307066573	0.0348961023183843	0	0	0	0	382427	bestrophin 3	Best3	chr10	116986314	117025040
12461	6.45225021110744	0.495610037751728	0.11487007201089	0.305240054881309	0.380739965740839	0	0	0	0	0.999304657264318	0.999991730363814	0.99997908372201	0.999842205642496	0	0	0	0	12461	chaperonin containing Tcp1, subunit 2 (beta)	Cct2	chr10	117050998	117063814
327826	5.26127650629521	-0.418034022627065	-0.440947414508591	-0.429490718567828	0.0229133918815263	0	0	0	0	0.999429452266093	0.999072164796955	0.999752648507846	0.999995679288188	0	0	0	0	327826	fibroblast growth factor receptor substrate 2	Frs2	chr10	117070127	117148474
64050	5.02952518084758	-0.560119207576927	-0.685006800066118	-0.622563003821522	0.124887592489191	0	0	0	0	0.999457228495539	0.994324928630789	0.999377045697143	0.999996889548045	0	0	0	0	64050	YEATS domain containing 4	Yeats4	chr10	117215141	117217358
77397	-1.44366051717053	-3.53432143043812	-4.94071875259253	-4.23752009151533	1.40639732215441	-4.71105662623258	-6.42723637304923	-7.32423336484604	0.548445242533058	0.00040958293284704	3.76548448307876e-05	1.23279411880771e-05	0.302007927833893	-1	-1	-1	0	77397	RIKEN cDNA 9530003J23 gene	9530003J23Rik	chr10	117232237	117238681
17105	11.3397898556307	-6.95426306893724	-4.99940741558763	-5.97683524226244	-1.95485565334961	-26.5570613594896	-17.6869904903043	-25.0587709060776	-4.50020203468702	6.2045621316923e-11	3.30733708376497e-09	1.0824274805617e-10	0.000561559142723571	-1	-1	-1	-1	17105	lysozyme 2	Lyz2	chr10	117277541	117282272
17110	7.3637930601751	-7.84576889985632	-5.7453207550159	-6.79554482743611	-2.10044814484041	-14.1932826597199	-11.1640781658812	-15.0578303041474	-2.27457980331231	2.98002762355964e-08	2.79447533371084e-07	1.64106996291995e-08	0.0230560050320761	-1	-1	-1	0	17110	lysozyme 1	Lyz1	chr10	117287795	117292868
432508	6.11690592752228	-0.875569866341086	-0.396818424511328	-0.636194145426207	-0.478751441829758	0	0	0	0	0.716656593082412	0.991835110608033	0.964146889966819	0.982803599934678	0	0	0	0	432508	cleavage and polyadenylation specific factor 6	Cpsf6	chr10	117344667	117376973
70574	8.5923655840871	-1.6610365047508	-3.28999827128243	-2.47551738801662	1.62896176653162	-5.3677955741688	-18.3980104029337	-13.7411172677212	5.10238626599653	0.000154052980315499	2.21238836095513e-09	3.75831683333266e-08	0.000226221024421307	-1	-1	-1	1	70574	carboxypeptidase M	Cpm	chr10	117629500	117687352
17246	6.74119603479783	2.34395490640328	0.480406010954157	1.41218045867872	1.86354889544912	9.1760869067512	0	3.18255705428375	5.96996240025853	1.65337158745493e-06	0.996968278213814	0.00484731589395368	6.6848082107426e-05	1	0	1	1	17246	transformed mouse 3T3 cell double minute 2	Mdm2	chr10	117688875	117710028
215436	5.05993081554902	3.28292556051598	1.18589147183844	2.23440851617721	2.09703408867754	11.9023810035991	0.899408623740602	6.80289504161491	6.63820620331052	1.481001557904e-07	0.194718659459555	2.28282108266132e-05	2.80316570047012e-05	1	0	1	1	215436	solute carrier family 35, member E3	Slc35e3	chr10	117733678	117746358
103468	4.06517726030142	0.0520848674335959	-0.103516919753804	-0.0257160261601035	0.1556017871874	0	0	0	0	0.999995923705514	0.999984090603479	0.999999262887996	0.999977354716935	0	0	0	0	103468	nucleoporin 107	Nup107	chr10	117750643	117792705
100862040	0.809810369953433	-1.92673029332436	-0.190258751998585	-1.05849452266147	-1.73647154132578	-1.74575708226222	0	-0.144571965902519	-1.34928609048098	0.0557418326810405	0.963091770277059	0.444181893017359	0.103657868138318	0	0	0	0	100862040	NA	NA	NA	NA	NA
215449	5.26965438591726	-0.605642145457314	-0.438379826800227	-0.522010986128771	-0.167262318657087	0	0	0	0	0.997216024495623	0.999699223227499	0.999700429871708	0.999985877172906	0	0	0	0	215449	RAS related protein 1b	Rap1b	chr10	117814597	117845974
17245	5.43671865210449	3.26717920276193	1.38004264149842	2.32361092213017	1.88713656126351	12.6425950262619	2.0146460316793	7.93108237997604	5.71695694797171	8.35313106471085e-08	0.035710850494549	6.09079323685883e-06	9.43553895378767e-05	1	0	1	1	17245	transformed mouse 3T3 cell double minute 1	Mdm1	chr10	118141787	118148139
69181	4.91446263154131	0.509294095650656	-1.16794156688149	-0.329323735615415	1.67723566253214	0	-1.32222868255685	0	5.48918342318925	0.99954502319945	0.107668926814407	0.999975788867933	0.0001296597868985	0	0	0	1	69181	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	Dyrk2	chr10	118859349	118868903
71902	6.28761227441001	0.736106697589061	0.44971850083723	0.592912599213145	0.28638819675183	0	0	0	0	0.97226544574171	0.999392744568827	0.998296843407062	0.999928412880546	0	0	0	0	71902	cullin associated and neddylation disassociated 1	Cand1	chr10	119198812	119240055
74053	1.72139757299231	6.56405326433161	5.3350036656041	5.94952846496786	1.22904959872751	14.5603471891573	11.068331808814	13.0135754555071	1.61042605189483	2.25940070883134e-08	3.00576552263168e-07	6.56256361607442e-08	0.069085570659827	1	1	1	0	74053	glutamate receptor interacting protein 1	Grip1	chr10	119454034	120077161
117599	2.06238688729889	-1.49350725397739	-0.510215519777069	-1.00186138687723	-0.983291734200325	-2.37421383816789	0	-0.0112516325681622	0	0.0194168400388298	0.986247479260872	0.495621369219403	0.52925574436561	0	0	0	0	117599	helicase (DNA) B	Helb	chr10	120083608	120092026
73914	0.577591311806779	-0.662743176660156	0.256891301968518	-0.202925937345819	-0.919634478628674	0	0	0	0	0.730170482004493	0.926923375286492	0.956299471120014	0.55997993751583	0	0	0	0	73914	interleukin-1 receptor-associated kinase 3	Irak3	chr10	120141654	120201537
68212	5.491074878204	-0.720638167108719	-0.0553450117485017	-0.38799158942861	-0.665293155360217	0	0	0	0	0.992686417410577	0.999999551267033	0.999990472500293	0.99712179005322	0	0	0	0	68212	transmembrane BAX inhibitor motif containing 4	Tmbim4	chr10	120208826	120217717
320183	5.37274964563585	-2.24022363645873	-1.96932402891671	-2.10477383268772	-0.270899607542026	-6.57774188138617	-5.05662393892118	-6.92841105010789	0	3.0255399793911e-05	0.000241972861352592	1.95627415993874e-05	0.997315929292002	-1	-1	-1	0	320183	methionine sulfoxide reductase B3	Msrb3	chr10	120781101	120898971
